Date,Gold_Price,Silver_Price,USD_Index,Inflation_Rate,Interest_Rate,SP500_Index,Oil_Price,Geopolitical_Risk_Index
2023-01-01,1824.50,23.75,103.5,6.5,4.25,3849.28,80.21,150
2023-01-15,1920.30,24.15,102.8,6.4,4.25,3999.09,79.45,155
2023-02-01,1945.75,23.85,101.5,6.3,4.50,4179.76,78.12,160
2023-02-15,1845.20,21.95,104.2,6.2,4.50,4078.85,76.89,165
2023-03-01,1835.60,20.85,105.0,6.1,4.75,3955.76,75.56,170
2023-03-15,1930.95,22.45,103.8,6.0,4.75,3916.64,72.23,175
2023-04-01,1985.30,24.15,102.5,5.9,5.00,4109.31,75.90,180
2023-04-15,2010.65,25.25,101.2,5.8,5.00,4137.64,77.57,185
2023-05-01,1995.90,24.85,102.8,5.7,5.25,4167.87,73.24,190
2023-05-15,1975.25,23.95,104.5,5.6,5.25,4191.98,71.91,195
2023-06-01,1955.60,23.15,105.8,5.5,5.50,4287.79,70.58,200
2023-06-15,1930.95,22.35,106.5,5.4,5.50,4409.59,69.25,205
2023-07-01,1915.30,22.85,105.2,5.3,5.75,4455.59,71.92,210
2023-07-15,1960.65,24.25,103.8,5.2,5.75,4535.72,73.59,215
2023-08-01,1945.90,23.75,104.5,5.1,5.75,4588.96,75.26,220
2023-08-15,1915.25,22.95,105.8,5.0,5.75,4378.31,76.93,225
2023-09-01,1930.60,23.35,104.2,4.9,5.75,4457.49,78.60,230
2023-09-15,1925.95,23.15,103.5,4.8,5.75,4450.32,80.27,235
2023-10-01,1845.30,21.85,105.0,4.7,5.75,4288.05,81.94,240
2023-10-15,1930.65,23.25,103.8,4.6,5.75,4363.80,83.61,245
2023-11-01,1985.90,24.35,102.5,4.5,5.75,4237.86,85.28,250
2023-11-15,1990.25,24.55,101.2,4.4,5.75,4514.02,86.95,255
2023-12-01,2035.60,25.15,100.5,4.3,5.75,4594.63,88.62,260
2023-12-15,2040.95,25.35,99.8,4.2,5.75,4719.19,90.29,265
2024-01-01,2055.30,25.75,99.2,4.1,5.75,4697.24,91.96,270
2024-01-15,2070.65,26.05,98.5,4.0,5.75,4783.83,93.63,275
2024-02-01,2085.90,26.35,97.8,3.9,5.75,4927.93,95.30,280
2024-02-15,2100.25,26.65,97.2,3.8,5.75,5029.73,96.97,285
2024-03-01,2115.60,26.95,96.5,3.7,5.75,5097.93,98.64,290
2024-03-15,2130.95,27.25,95.8,3.6,5.75,5153.85,100.31,295
2024-04-01,2145.30,27.55,95.2,3.5,5.75,5205.81,101.98,300
2024-04-15,2160.65,27.85,94.5,3.4,5.75,5259.76,103.65,305
2024-05-01,2175.90,28.15,93.8,3.3,5.75,5312.69,105.32,310
2024-05-15,2190.25,28.45,93.2,3.2,5.75,5350.45,106.99,315
2024-06-01,2205.60,28.75,92.5,3.1,5.75,5380.25,108.66,320
2024-06-15,2220.95,29.05,91.8,3.0,5.75,5400.15,110.33,325
2024-07-01,2235.30,29.35,91.2,2.9,5.75,5420.05,112.00,330
2024-07-15,2250.65,29.65,90.5,2.8,5.75,5440.95,113.67,335
2024-08-01,2265.90,29.95,89.8,2.7,5.75,5460.85,115.34,340
2024-08-15,2280.25,30.25,89.2,2.6,5.75,5480.75,117.01,345
2024-09-01,2295.60,30.55,88.5,2.5,5.75,5500.65,118.68,350
2024-09-15,2310.95,30.85,87.8,2.4,5.75,5520.55,120.35,355
2024-10-01,2325.30,31.15,87.2,2.3,5.75,5540.45,122.02,360
2024-10-15,2340.65,31.45,86.5,2.2,5.75,5560.35,123.69,365
2024-11-01,2355.90,31.75,85.8,2.1,5.75,5580.25,125.36,370
2024-11-15,2370.25,32.05,85.2,2.0,5.75,5600.15,127.03,375
2024-12-01,2385.60,32.35,84.5,1.9,5.75,5620.05,128.70,380
2024-12-15,2400.95,32.65,83.8,1.8,5.75,5640.95,130.37,385
2025-01-01,2415.30,32.95,83.2,1.7,5.75,5660.85,132.04,390
2025-01-15,2430.65,33.25,82.5,1.6,5.75,5680.75,133.71,395
2025-02-01,2445.90,33.55,81.8,1.5,5.75,5700.65,135.38,400
2025-02-15,2460.25,33.85,81.2,1.4,5.75,5720.55,137.05,405
2025-03-01,2475.60,34.15,80.5,1.3,5.75,5740.45,138.72,410
2025-03-15,2490.95,34.45,79.8,1.2,5.75,5760.35,140.39,415
2025-04-01,2505.30,34.75,79.2,1.1,5.75,5780.25,142.06,420
2025-04-15,2520.65,35.05,78.5,1.0,5.75,5800.15,143.73,425
2025-05-01,2535.90,35.35,77.8,0.9,5.75,5820.05,145.40,430
2025-05-15,2550.25,35.65,77.2,0.8,5.75,5840.95,147.07,435
2025-06-01,2565.60,35.95,76.5,0.7,5.75,5860.85,148.74,440
2025-06-15,2580.95,36.25,75.8,0.6,5.75,5880.75,150.41,445
2025-07-01,2595.30,36.55,75.2,0.5,5.75,5900.65,152.08,450
2025-07-15,2610.65,36.85,74.5,0.4,5.75,5920.55,153.75,455
2025-08-01,2625.90,37.15,73.8,0.3,5.75,5940.45,155.42,460
2025-08-15,2640.25,37.45,73.2,0.2,5.75,5960.35,157.09,465
2025-09-01,2655.60,37.75,72.5,0.1,5.75,5980.25,158.76,470
2025-09-15,2670.95,38.05,71.8,0.0,5.75,6000.15,160.43,475
2025-10-01,2685.30,38.35,71.2,0.0,5.75,6020.05,162.10,480
2025-10-15,2700.65,38.65,70.5,0.0,5.75,6040.95,163.77,485
2025-11-01,2715.90,38.95,69.8,0.0,5.75,6060.85,165.44,490
2025-11-15,2730.25,39.25,69.2,0.0,5.75,6080.75,167.11,495
2025-12-01,2745.60,39.55,68.5,0.0,5.75,6100.65,168.78,500
2025-12-15,2760.95,39.85,67.8,0.0,5.75,6120.55,170.45,505
2025-12-31,2775.30,40.15,67.2,0.0,5.75,6140.45,172.12,510
